               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08016,            0.019315,            0.069572,             0.10816,             0.39267,             0.11316,            0.052567,            0.048238,            0.013359,            0.059537,           0.0033325,           0.0033325,            0.070008
                   1,            0.047847,            0.013372,            0.046611,             0.72168,             0.71107,             0.75226,              0.4453,            0.032877,           0.0096946,            0.024522,           0.0066657,           0.0066657,            0.040008
                   2,            0.040272,            0.011717,            0.024398,             0.93691,             0.86938,             0.94223,             0.60693,            0.028788,           0.0084891,           0.0093978,           0.0099983,           0.0099983,            0.010007
                   3,            0.034863,            0.010522,            0.016705,             0.95905,             0.91266,             0.96739,             0.65435,            0.025921,           0.0075846,           0.0059894,            0.009998,            0.009998,            0.009998
                   4,            0.031917,           0.0097709,            0.013704,              0.9567,             0.93626,             0.97614,             0.67536,            0.024678,           0.0072025,           0.0047545,            0.009998,            0.009998,            0.009998
                   5,            0.030497,           0.0093374,            0.012374,             0.97293,             0.93415,             0.97959,             0.68439,            0.024003,           0.0069713,           0.0041656,           0.0099965,           0.0099965,           0.0099965
                   6,            0.029572,            0.009095,            0.011606,             0.97062,             0.94501,             0.98135,             0.68947,            0.023592,           0.0068432,           0.0038789,           0.0099945,           0.0099945,           0.0099945
                   7,            0.028933,           0.0089363,            0.011093,             0.97076,             0.94809,             0.98208,             0.69394,             0.02334,           0.0067591,           0.0037039,           0.0099921,           0.0099921,           0.0099921
                   8,            0.028496,           0.0088046,            0.010635,             0.97345,             0.94774,             0.98351,             0.69752,            0.023126,           0.0066969,           0.0035687,           0.0099893,           0.0099893,           0.0099893
                   9,            0.028135,           0.0086647,            0.010441,             0.97559,             0.94825,             0.98468,             0.70016,            0.022978,           0.0066507,           0.0034821,            0.009986,            0.009986,            0.009986
                  10,            0.027797,           0.0085736,            0.010156,             0.97965,             0.94554,             0.98487,             0.70327,            0.022797,           0.0066003,           0.0033934,           0.0099822,           0.0099822,           0.0099822
                  11,            0.027539,           0.0085038,            0.010071,              0.9735,             0.95394,             0.98563,             0.70729,            0.022626,           0.0065582,           0.0033121,           0.0099781,           0.0099781,           0.0099781
                  12,             0.02719,           0.0084416,           0.0097523,             0.97558,             0.95389,             0.98619,             0.71008,            0.022469,           0.0065205,           0.0032613,           0.0099735,           0.0099735,           0.0099735
                  13,            0.026958,           0.0083994,           0.0097013,             0.97707,             0.95316,             0.98639,              0.7141,             0.02225,           0.0064814,           0.0032211,           0.0099685,           0.0099685,           0.0099685
                  14,            0.026783,           0.0083183,            0.009586,             0.97731,             0.95456,             0.98657,             0.71846,            0.022057,           0.0064397,           0.0031726,            0.009963,            0.009963,            0.009963
                  15,             0.02656,           0.0082784,           0.0095118,             0.97437,             0.95912,             0.98668,             0.72253,            0.021901,           0.0063963,           0.0031173,           0.0099571,           0.0099571,           0.0099571
                  16,            0.026414,           0.0082322,           0.0093538,             0.98028,             0.95613,             0.98708,             0.72661,            0.021708,           0.0063501,           0.0030451,           0.0099508,           0.0099508,           0.0099508
                  17,            0.026283,           0.0082181,           0.0093006,             0.97887,             0.95915,             0.98722,             0.73007,            0.021492,           0.0063032,           0.0029813,            0.009944,            0.009944,            0.009944
                  18,            0.026199,           0.0081573,           0.0092679,             0.97665,             0.96191,             0.98773,             0.73317,            0.021252,           0.0062591,           0.0029238,           0.0099368,           0.0099368,           0.0099368
                  19,            0.026034,           0.0081251,           0.0091953,             0.97855,             0.96289,             0.98805,             0.73559,            0.021056,           0.0062209,            0.002892,           0.0099291,           0.0099291,           0.0099291
                  20,            0.025873,           0.0080914,           0.0091221,             0.97729,             0.96377,             0.98807,             0.73867,            0.020841,           0.0061839,           0.0028724,           0.0099211,           0.0099211,           0.0099211
                  21,            0.025795,           0.0080814,           0.0090793,             0.97801,             0.96319,             0.98829,             0.74226,            0.020624,           0.0061417,           0.0028364,           0.0099126,           0.0099126,           0.0099126
