               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.042204,            0.010642,            0.038973,             0.94541,             0.90787,             0.96349,             0.62584,            0.026131,           0.0063803,           0.0098711,           0.0033316,           0.0033316,            0.070016
                   1,            0.028068,            0.006906,            0.011044,             0.97208,             0.95135,             0.98513,             0.71934,            0.021485,           0.0057287,           0.0055173,           0.0066648,           0.0066648,            0.040015
                   2,            0.024947,           0.0068813,           0.0096958,              0.9808,             0.96774,             0.98958,             0.75879,            0.019638,           0.0054981,           0.0038159,           0.0099974,           0.0099974,            0.010015
                   3,            0.023202,           0.0066581,           0.0084415,               0.989,              0.9833,             0.99335,             0.80781,            0.016452,           0.0048377,           0.0022065,            0.009998,            0.009998,            0.009998
                   4,            0.021663,           0.0062734,           0.0071377,             0.99265,             0.98361,             0.99384,             0.81901,            0.015769,           0.0046579,           0.0019377,            0.009998,            0.009998,            0.009998
                   5,            0.020929,           0.0061017,           0.0065369,             0.99202,             0.98688,             0.99411,              0.8282,            0.015169,            0.004479,           0.0017192,           0.0099965,           0.0099965,           0.0099965
                   6,            0.020472,           0.0059678,           0.0061756,             0.99272,             0.98981,              0.9945,              0.8326,            0.014825,           0.0044241,           0.0014646,           0.0099945,           0.0099945,           0.0099945
                   7,             0.02026,           0.0059394,           0.0060932,             0.99035,             0.99211,             0.99477,             0.83574,            0.014642,           0.0043743,             0.00144,           0.0099921,           0.0099921,           0.0099921
                   8,            0.020075,           0.0058896,           0.0059316,             0.99257,             0.99065,             0.99487,             0.83801,            0.014482,           0.0043355,           0.0013619,           0.0099893,           0.0099893,           0.0099893
                   9,            0.019956,           0.0058503,           0.0058302,             0.99392,              0.9908,             0.99491,             0.83967,            0.014379,           0.0043099,           0.0013056,            0.009986,            0.009986,            0.009986
                  10,             0.01987,           0.0058237,           0.0058224,             0.99447,             0.98996,             0.99493,             0.84085,            0.014359,           0.0043003,           0.0012901,           0.0099822,           0.0099822,           0.0099822
                  11,            0.019759,           0.0057962,            0.005699,             0.99454,              0.9903,              0.9949,             0.84157,            0.014344,           0.0042955,           0.0012987,           0.0099781,           0.0099781,           0.0099781
                  12,            0.019761,           0.0058231,           0.0057107,             0.99507,             0.98947,              0.9949,             0.84028,            0.014369,           0.0042919,           0.0012919,           0.0099735,           0.0099735,           0.0099735
                  13,            0.019624,           0.0057755,           0.0056336,             0.99298,             0.99209,             0.99492,             0.84006,            0.014367,           0.0042852,           0.0012588,           0.0099685,           0.0099685,           0.0099685
                  14,             0.01962,           0.0057615,           0.0055427,             0.99454,             0.99092,              0.9949,             0.84058,            0.014344,           0.0042799,           0.0012407,            0.009963,            0.009963,            0.009963
                  15,            0.019543,           0.0057653,           0.0055214,             0.99326,             0.99321,             0.99491,             0.83981,            0.014359,           0.0042786,           0.0012324,           0.0099571,           0.0099571,           0.0099571
                  16,            0.019506,           0.0057558,           0.0055497,             0.99292,              0.9941,             0.99489,             0.83969,            0.014352,           0.0042772,           0.0012247,           0.0099508,           0.0099508,           0.0099508
                  17,             0.01945,            0.005722,           0.0054937,             0.99396,             0.99277,             0.99493,             0.83986,            0.014384,           0.0042805,           0.0012203,            0.009944,            0.009944,            0.009944
                  18,            0.019407,           0.0057209,           0.0054534,             0.99342,              0.9937,             0.99495,             0.84073,            0.014365,           0.0042795,           0.0012025,           0.0099368,           0.0099368,           0.0099368
                  19,            0.019383,           0.0057144,           0.0054293,             0.99454,             0.99251,             0.99492,             0.84031,            0.014351,           0.0042779,           0.0012023,           0.0099291,           0.0099291,           0.0099291
                  20,            0.019304,           0.0057052,           0.0054455,             0.99386,             0.99331,             0.99492,             0.84086,            0.014327,           0.0042756,           0.0011955,           0.0099211,           0.0099211,           0.0099211
                  21,            0.019289,           0.0056812,           0.0053619,             0.99417,             0.99262,             0.99492,             0.84236,            0.014273,           0.0042657,           0.0011835,           0.0099126,           0.0099126,           0.0099126
                  22,            0.019277,           0.0056982,           0.0053741,             0.99373,             0.99291,             0.99491,             0.84235,            0.014275,           0.0042596,           0.0011866,           0.0099037,           0.0099037,           0.0099037
                  23,            0.019217,           0.0056706,           0.0053282,             0.99414,             0.99248,              0.9949,             0.84268,            0.014249,           0.0042523,           0.0011999,           0.0098943,           0.0098943,           0.0098943
                  24,            0.019229,           0.0056719,            0.005308,             0.99298,             0.99382,             0.99473,             0.84326,            0.014222,           0.0042442,           0.0012254,           0.0098845,           0.0098845,           0.0098845
